Feature,Importance
EXT_SOURCE_3,0.044065148
EXT_SOURCE_2,0.041203294
NAME_EDUCATION_TYPE_Higher education,0.024050482
CODE_GENDER_M,0.020332152
NAME_INCOME_TYPE_Pensioner,0.01991512
EXT_SOURCE_1,0.013329878
FLAG_DOCUMENT_3,0.0129459845
NAME_INCOME_TYPE_Working,0.01289766
FLAG_OWN_CAR_Y,0.010094948
NAME_EDUCATION_TYPE_Secondary / secondary special,0.010049135
NAME_CONTRACT_TYPE_Revolving loans,0.009540825
REGION_RATING_CLIENT_W_CITY,0.009490167
AMT_GOODS_PRICE,0.009140731
NAME_FAMILY_STATUS_Married,0.008584931
REG_CITY_NOT_LIVE_CITY,0.008460371
DEF_60_CNT_SOCIAL_CIRCLE,0.008211217
AMT_CREDIT,0.007965389
OWN_CAR_AGE,0.007935949
DAYS_BIRTH,0.0079176
DAYS_EMPLOYED,0.0072143455
OCCUPATION_TYPE_Core staff,0.006694118
FLAG_DOCUMENT_16,0.0066939155
AMT_ANNUITY,0.006686654
ORGANIZATION_TYPE_Restaurant,0.0064228154
REG_CITY_NOT_WORK_CITY,0.0062693744
FLOORSMIN_MEDI,0.0062429598
NAME_FAMILY_STATUS_Single / not married,0.00623413
DEF_30_CNT_SOCIAL_CIRCLE,0.006174066
ENTRANCES_MEDI,0.006158295
AMT_REQ_CREDIT_BUREAU_QRT,0.0061547766
FLAG_DOCUMENT_18,0.0061509437
FLOORSMAX_MEDI,0.006040001
FLAG_DOCUMENT_13,0.0060161725
ORGANIZATION_TYPE_Telecom,0.00601561
ELEVATORS_MEDI,0.005992971
ORGANIZATION_TYPE_Self-employed,0.0058684363
ORGANIZATION_TYPE_Military,0.005768964
ORGANIZATION_TYPE_Industry: type 12,0.005654169
FLAG_DOCUMENT_11,0.005652997
FLOORSMAX_AVG,0.0056212293
ORGANIZATION_TYPE_Housing,0.0056016133
FLOORSMAX_MODE,0.0055855704
ELEVATORS_AVG,0.0054861913
AMT_REQ_CREDIT_BUREAU_DAY,0.005447827
NAME_INCOME_TYPE_State servant,0.005440146
DAYS_ID_PUBLISH,0.0054036328
ORGANIZATION_TYPE_Transport: type 3,0.005357825
ORGANIZATION_TYPE_Construction,0.0052915155
APARTMENTS_MEDI,0.005205577
OCCUPATION_TYPE_Cleaning staff,0.0051991665
ORGANIZATION_TYPE_Industry: type 9,0.00516105
ORGANIZATION_TYPE_School,0.005156576
NONLIVINGAPARTMENTS_MEDI,0.0049806293
YEARS_BUILD_MEDI,0.0049458453
AMT_REQ_CREDIT_BUREAU_YEAR,0.0049262946
ORGANIZATION_TYPE_Security Ministries,0.004921603
NAME_HOUSING_TYPE_House / apartment,0.004852039
"WALLSMATERIAL_MODE_Stone, brick",0.004829324
ORGANIZATION_TYPE_Trade: type 2,0.0047748564
LIVINGAREA_MODE,0.0047175796
LANDAREA_MEDI,0.004680401
ORGANIZATION_TYPE_Business Entity Type 3,0.0046690768
NAME_FAMILY_STATUS_Widow,0.004661519
DAYS_LAST_PHONE_CHANGE,0.0046460824
LIVINGAREA_MEDI,0.004641082
OBS_60_CNT_SOCIAL_CIRCLE,0.0046384926
LIVINGAPARTMENTS_MEDI,0.004619649
OCCUPATION_TYPE_Drivers,0.0045690374
BASEMENTAREA_MEDI,0.0045611374
YEARS_BEGINEXPLUATATION_MODE,0.004529472
OCCUPATION_TYPE_Secretaries,0.0045037414
OCCUPATION_TYPE_Medicine staff,0.0044699823
NAME_EDUCATION_TYPE_Lower secondary,0.004436913
FLAG_WORK_PHONE,0.0043797186
FLAG_PHONE,0.0043698694
NONLIVINGAREA_MEDI,0.004312879
FLAG_EMP_PHONE,0.0042854007
FLAG_DOCUMENT_15,0.0042578117
LIVINGAREA_AVG,0.004179833
ORGANIZATION_TYPE_Police,0.004176228
YEARS_BUILD_MODE,0.0041733836
TOTALAREA_MODE,0.0041473177
YEARS_BEGINEXPLUATATION_MEDI,0.0041323183
OCCUPATION_TYPE_Low-skill Laborers,0.0041263313
COMMONAREA_MEDI,0.004120787
REGION_RATING_CLIENT,0.004108088
ELEVATORS_MODE,0.0041001947
ORGANIZATION_TYPE_Transport: type 4,0.0040962007
NONLIVINGAREA_MODE,0.004067213
NONLIVINGAPARTMENTS_MODE,0.0040515903
WALLSMATERIAL_MODE_Mixed,0.0040243403
COMMONAREA_MODE,0.0040144743
ORGANIZATION_TYPE_Kindergarten,0.0039928057
APARTMENTS_MODE,0.003983372
FLAG_EMAIL,0.0039405115
APARTMENTS_AVG,0.0039184173
ORGANIZATION_TYPE_Business Entity Type 1,0.003904745
AMT_REQ_CREDIT_BUREAU_WEEK,0.003888202
LANDAREA_MODE,0.0038788947
ORGANIZATION_TYPE_Hotel,0.0038752523
ORGANIZATION_TYPE_Business Entity Type 2,0.0038658364
FLAG_DOCUMENT_14,0.0038613179
ENTRANCES_AVG,0.0038598233
BASEMENTAREA_MODE,0.0038062106
BASEMENTAREA_AVG,0.003799984
FLOORSMIN_MODE,0.0037924545
REGION_POPULATION_RELATIVE,0.0037863136
ORGANIZATION_TYPE_University,0.0037806802
FONDKAPREMONT_MODE_reg oper account,0.0037680662
ORGANIZATION_TYPE_Legal Services,0.0037520418
NONLIVINGAPARTMENTS_AVG,0.003736852
ORGANIZATION_TYPE_Bank,0.0037263946
LANDAREA_AVG,0.003705019
ORGANIZATION_TYPE_Realtor,0.0036851778
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0036629452
NAME_EDUCATION_TYPE_Incomplete higher,0.003642355
DAYS_REGISTRATION,0.003633678
NAME_HOUSING_TYPE_With parents,0.0036259438
FLAG_DOCUMENT_8,0.0036224995
ORGANIZATION_TYPE_Medicine,0.0036213961
WALLSMATERIAL_MODE_Monolithic,0.0036172564
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0035944453
OCCUPATION_TYPE_High skill tech staff,0.0035802433
LIVE_REGION_NOT_WORK_REGION,0.0035743644
NONLIVINGAREA_AVG,0.0035680027
EMERGENCYSTATE_MODE_Yes,0.0035646523
AMT_INCOME_TOTAL,0.0035638274
NAME_TYPE_SUITE_Family,0.0035592758
COMMONAREA_AVG,0.0035481467
LIVINGAPARTMENTS_MODE,0.0035242904
ORGANIZATION_TYPE_Culture,0.0034778863
FLOORSMIN_AVG,0.003465263
OCCUPATION_TYPE_Sales staff,0.0034631067
FLAG_DOCUMENT_5,0.0033943036
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0033875732
CNT_FAM_MEMBERS,0.0033789198
YEARS_BUILD_AVG,0.003378021
ENTRANCES_MODE,0.0033738296
ORGANIZATION_TYPE_Services,0.00336912
AMT_REQ_CREDIT_BUREAU_MON,0.003337095
ORGANIZATION_TYPE_Insurance,0.0033256973
HOUR_APPR_PROCESS_START,0.0033249878
OBS_30_CNT_SOCIAL_CIRCLE,0.0033176546
OCCUPATION_TYPE_Waiters/barmen staff,0.0032978535
NAME_FAMILY_STATUS_Separated,0.0032911582
NAME_HOUSING_TYPE_Office apartment,0.003289803
ORGANIZATION_TYPE_Trade: type 3,0.0032793786
NAME_INCOME_TYPE_Commercial associate,0.003266743
NAME_HOUSING_TYPE_Municipal apartment,0.0032526415
LIVINGAPARTMENTS_AVG,0.0032245717
YEARS_BEGINEXPLUATATION_AVG,0.003207368
FLAG_OWN_REALTY_Y,0.003195239
LIVE_CITY_NOT_WORK_CITY,0.0031740733
ORGANIZATION_TYPE_Other,0.0031695887
WALLSMATERIAL_MODE_Others,0.0031515015
SK_ID_CURR,0.0031374074
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0030762786
REG_REGION_NOT_LIVE_REGION,0.0030627656
CNT_CHILDREN,0.0030357286
ORGANIZATION_TYPE_Government,0.0029864882
ORGANIZATION_TYPE_Industry: type 10,0.0029627092
ORGANIZATION_TYPE_Industry: type 4,0.0029572067
FLAG_DOCUMENT_20,0.002908349
FONDKAPREMONT_MODE_reg oper spec account,0.0028949187
ORGANIZATION_TYPE_Postal,0.0027936439
ORGANIZATION_TYPE_Trade: type 6,0.0027346879
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.002716704
OCCUPATION_TYPE_Security staff,0.0027166936
FLAG_DOCUMENT_9,0.0027077121
ORGANIZATION_TYPE_Industry: type 3,0.0026521261
WALLSMATERIAL_MODE_Panel,0.002610673
OCCUPATION_TYPE_Realty agents,0.0025823512
FLAG_DOCUMENT_7,0.0025815098
FLAG_DOCUMENT_2,0.002569539
FLAG_DOCUMENT_19,0.002540862
OCCUPATION_TYPE_Managers,0.0025381437
ORGANIZATION_TYPE_Industry: type 5,0.0025010242
FONDKAPREMONT_MODE_org spec account,0.0024934507
NAME_TYPE_SUITE_Unaccompanied,0.002484666
ORGANIZATION_TYPE_Transport: type 2,0.0024610236
WALLSMATERIAL_MODE_Wooden,0.0024574953
ORGANIZATION_TYPE_Electricity,0.0024394835
NAME_TYPE_SUITE_Other_B,0.0024264122
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.002397859
NAME_HOUSING_TYPE_Rented apartment,0.0023962948
OCCUPATION_TYPE_Laborers,0.0023904769
FLAG_DOCUMENT_6,0.002319109
REG_REGION_NOT_WORK_REGION,0.0023107973
ORGANIZATION_TYPE_Emergency,0.0022622768
ORGANIZATION_TYPE_Trade: type 1,0.002251727
FLAG_DOCUMENT_21,0.0022208905
ORGANIZATION_TYPE_Industry: type 11,0.0022040678
ORGANIZATION_TYPE_Industry: type 1,0.0021284712
AMT_REQ_CREDIT_BUREAU_HOUR,0.002107061
ORGANIZATION_TYPE_Agriculture,0.002064728
OCCUPATION_TYPE_Private service staff,0.001998515
FLAG_CONT_MOBILE,0.0019457142
ORGANIZATION_TYPE_Security,0.001810296
ORGANIZATION_TYPE_Trade: type 7,0.0017924237
HOUSETYPE_MODE_specific housing,0.0017907482
HOUSETYPE_MODE_terraced house,0.0017792037
OCCUPATION_TYPE_Cooking staff,0.0017220168
"NAME_TYPE_SUITE_Spouse, partner",0.0015788705
FLAG_MOBIL,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_10,0.0
NAME_TYPE_SUITE_Group of people,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_FAMILY_STATUS_Unknown,0.0
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_HR staff,0.0
CODE_GENDER_XNA,0.0
NAME_TYPE_SUITE_Other_A,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.0
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 4,0.0
ORGANIZATION_TYPE_XNA,0.0
